code,best_rating,best_player
NOR,2853,Carlsen Magnus
RUS,2812,Kasparov Garry
CHN,2789,Ding Liren
FRA,2785,Firouzja Alireza
USA,2775,Nakamura Hikaru
NED,2768,Giri Anish
IND,2754,Anand Viswanathan
AZE,2747,Radjabov Teimour
ROU,2745,Rapport Richard
IRI,2734,Maghsoodloo Parham
UZB,2731,Abdusattorov Nodirbek
FID,2729,Andreikin Dmitry
BUL,2728,Topalov Veselin
VIE,2728,Le Quang Liem
POL,2724,Duda Jan-Krzysztof
ESP,2712,Vallejo Pons Francisco
UKR,2705,Eljanov Pavel
GER,2700,Keymer Vincent
ENG,2694,Sadler Matthew D
ARM,2692,Sargissian Gabriel
EGY,2691,Amin Bassem
SRB,2685,Sarana Alexey
ISR,2678,Gelfand Boris
CZE,2678,Navara David
UAE,2677,Salem A.R. Saleh
HUN,2677,Almasi Zoltan
CRO,2667,Saric Ivan
SWE,2664,Grandelius Nils
PER,2650,Cori Jorge
TUR,2644,Ipatov Alexander
ARG,2638,Pichot Alan
GEO,2637,Azmaiparashvili Zurab
CAN,2631,Kovalyov Anton
BEL,2631,Dardha Daniel
KAZ,2629,Sadvakasov Darmen
SLO,2629,Lenic Luka
GRE,2628,Papaioannou Ioannis
AUT,2626,Ragger Markus
DEN,2618,Nielsen Peter Heine
ITA,2618,Vocaturo Daniele
CHI,2616,Henriquez Villagra Cristobal
URU,2614,Meier Georg
SVK,2611,Pechac Jergus
LAT,2611,Neiksans Arturs
BRA,2606,Vescovi Giovanni
PAR,2604,Bachmann Axel
SUI,2603,Milov Vadim
CUB,2601,Quesada Perez Yasser
MNE,2601,Kadric Denis
TJK,2598,Amonatov Farrukh
MKD,2598,Najdoski Toni
AUS,2586,Smirnov Anton
MDA,2584,Iordachescu Viorel
SGP,2576,Tin Jingyao
FIN,2573,Nyback Tomi
BLR,2572,Zhigalko Sergei
INA,2566,Wahjuwidajat Utut Adianto
BIH,2563,Predojevic Borki
PHI,2554,Sadorra Julio Catalino
FAI,2549,Ziska Helgi Dam
LTU,2548,Laurusas Tomas
QAT,2542,Al-Mudahka Mohd
ISL,2539,Gretarsson Hjorvar Steinn
SCO,2537,Rowson Jonathan
MEX,2533,Hernandez Guerrero Gilberto
MAR,2526,Hamdouchi Hicham
COL,2526,Cuartas Jaime Alexander
MGL,2525,Batsuren Dambasuren
KGZ,2521,Magai Vladimir
ALB,2520,Dervishi Erald
POR,2518,Ferreira Jorge Viterbo
NZL,2518,Chandler Murray G
AND,2517,Henderson de La Fuente Lance
EST,2513,Ladva Ottomar
TPE,2512,Song Raymond
TKM,2507,Atabayev Yusup
